"Temporada","Liga","Equipo","Jugador","Posición","Valor.de.Mercado","URL.Perfil","URL.Rendimiento","Partidos","Goles","Asistencias","Amarillas","Segundas_Amarillas","Rojas","Minutos.Jugados"
2022,"Premier League","Manchester City","Josh Wilson-Esbrand","Left-Back","€1.50m","https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/576121/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","2","1 "," 1 "," -","1.409'"
2022,"Premier League","Manchester City","João Cancelo","","João Cancelo","https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/182712/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","47","3","11","9 "," - "," 1","3.161'"
2022,"Premier League","Manchester City","João Cancelo","","João Cancelo","https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/182712/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","47","3","11","9 "," - "," 1","3.161'"
2022,"Premier League","Manchester City","Rico Lewis","Right-Back","€20.00m","https://www.transfermarkt.com/rico-lewis/profil/spieler/701057","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/701057/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","27","1","-","1 "," - "," -","1.786'"
2022,"Premier League","Manchester City","Kyle Walker","Right-Back","€13.00m","https://www.transfermarkt.com/kyle-walker/profil/spieler/95424","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/95424/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","39","-","1","3 "," - "," -","2.763'"
2022,"Premier League","Manchester City","Rodri","Defensive Midfield","€90.00m","https://www.transfermarkt.com/rodri/profil/spieler/357565","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/357565/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","56","4","7","9 "," - "," -","4.478'"
2022,"Premier League","Manchester City","Kalvin Phillips","Defensive Midfield","€32.00m","https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/351749/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","21","-","-","1 "," - "," -","595'"
2022,"Premier League","Manchester City","Máximo Perrone","Defensive Midfield","€10.00m","https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/668547/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","2","-","-","- "," - "," -","20'"
2022,"Premier League","Manchester City","Claudio Gomes","Defensive Midfield","€1.40m","https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/395239/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","26","-","1","7 "," - "," -","2.076'"
2022,"Premier League","Manchester City","Shea Charles","Defensive Midfield","-","https://www.transfermarkt.com/shea-charles/profil/spieler/747951","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/747951/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","37","1","1","11 "," - "," -","3.261'"
2022,"Premier League","Manchester City","İlkay Gündoğan","","İlkay Gündoğan","https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/53622/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","51","11","6","5 "," - "," -","3.856'"
2022,"Premier League","Manchester City","Alex Robertson","Central Midfield","€50k","https://www.transfermarkt.com/alex-robertson/profil/spieler/609887","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/609887/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","19","5","1","4 "," - "," -","1.313'"
2022,"Premier League","Manchester City","Bernardo Silva","Attacking Midfield","€80.00m","https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/241641/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","55","7","7","9 "," - "," -","3.602'"
2022,"Premier League","Manchester City","Kevin De Bruyne","Attacking Midfield","€70.00m","https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/88755/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","49","10","29","2 "," - "," -","3.685'"
2022,"Premier League","Manchester City","Cole Palmer","Attacking Midfield","€15.00m","https://www.transfermarkt.com/cole-palmer/profil/spieler/568177","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/568177/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","25","1","1","1 "," - "," -","850'"
2022,"Premier League","Manchester City","Nico O'Reilly","Attacking Midfield","-","https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/743413/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","32","13","14","4 "," - "," -","2.623'"
2022,"Premier League","Manchester City","Jack Grealish","Left Winger","€75.00m","https://www.transfermarkt.com/jack-grealish/profil/spieler/203460","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/203460/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","50","5","11","6 "," - "," -","3.487'"
2022,"Premier League","Manchester City","Phil Foden","Right Winger","€110.00m","https://www.transfermarkt.com/phil-foden/profil/spieler/406635","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/406635/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","15","8","3 "," - "," -","2.660'"
2022,"Premier League","Manchester City","Riyad Mahrez","Right Winger","€20.00m","https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/171424/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","47","15","13","2 "," - "," -","3.068'"
2022,"Premier League","Manchester City","Sergio Gómez","Right Winger","€13.00m","https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/366930/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","1","- "," - "," 1","971'"
2022,"Premier League","Manchester City","Sergio Gómez","Right Winger","€13.00m","https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/366930/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","1","- "," - "," 1","971'"
2022,"Premier League","Manchester City","Ben Knight","Right Winger","€300k","https://www.transfermarkt.com/ben-knight/profil/spieler/568007","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/568007/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","8","2","2","- "," - "," -","326'"
2022,"Premier League","Manchester City","Erling Haaland","Centre-Forward","€180.00m","https://www.transfermarkt.com/erling-haaland/profil/spieler/418560","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/418560/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","53","52","9","6 "," - "," -","4.131'"
2022,"Premier League","Manchester City","Julián Alvarez","Centre-Forward","€60.00m","https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/576024/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","49","17","4","1 "," - "," -","2.526'"
2022,"Premier League","Manchester City","Liam Delap","Centre-Forward","€5.00m","https://www.transfermarkt.com/liam-delap/profil/spieler/610849","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/610849/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","38","4","-","8 "," - "," -","1.938'"
2022,"Premier League","Arsenal FC","Aaron Ramsdale","Goalkeeper","€40.00m","https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/427568/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","41","-","1 / - / -","46",NA,NA,"3.720'"
2022,"Premier League","Arsenal FC","Matt Turner","Goalkeeper","€8.00m","https://www.transfermarkt.com/matt-turner/profil/spieler/425306","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/425306/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","7","-","1 / - / -","4",NA,NA,"630'"
2022,"Premier League","Arsenal FC","Karl Hein","Goalkeeper","€1.50m","https://www.transfermarkt.com/karl-hein/profil/spieler/493513","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/493513/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","5","-","1 / - / -","7",NA,NA,"450'"
2022,"Premier League","Arsenal FC","James Hillson","Goalkeeper","-","https://www.transfermarkt.com/james-hillson/profil/spieler/503765","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/503765/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","-","-","- / - / -","-",NA,NA,"-"
2022,"Premier League","Arsenal FC","William Saliba","Centre-Back","€65.00m","https://www.transfermarkt.com/william-saliba/profil/spieler/495666","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/495666/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","33","3","1","4 "," - "," -","2.815'"
2022,"Premier League","Arsenal FC","Gabriel Magalhães","Centre-Back","€55.00m","https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/435338/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","3","-","6 "," - "," -","4.133'"
2022,"Premier League","Arsenal FC","Jakub Kiwior","Centre-Back","€25.00m","https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/425918/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","29","1","-","3 "," - "," -","2.260'"
2022,"Premier League","Arsenal FC","Jakub Kiwior","Centre-Back","€25.00m","https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/425918/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","29","1","-","3 "," - "," -","2.260'"
2022,"Premier League","Arsenal FC","Auston Trusty","Centre-Back","€10.00m","https://www.transfermarkt.com/auston-trusty/profil/spieler/389253","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/389253/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","4","2","9 "," - "," -","4.320'"
2022,"Premier League","Arsenal FC","Rob Holding","Centre-Back","€8.00m","https://www.transfermarkt.com/rob-holding/profil/spieler/253341","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/253341/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","2","-","2 "," - "," -","1.400'"
2022,"Premier League","Arsenal FC","Oleksandr Zinchenko","Left-Back","€42.00m","https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/203853/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","33","1","2","5 "," - "," -","2.411'"
2022,"Premier League","Arsenal FC","Kieran Tierney","","Kieran Tierney","https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/300716/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","36","1","2","2 "," - "," -","1.459'"
2022,"Premier League","Arsenal FC","Lino Sousa","Left-Back","€500k","https://www.transfermarkt.com/lino-sousa/profil/spieler/743414","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/743414/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","28","-","3","3 "," - "," -","2.510'"
2022,"Premier League","Arsenal FC","Ben White","Right-Back","€55.00m","https://www.transfermarkt.com/ben-white/profil/spieler/335721","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/335721/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","46","2","5","5 "," - "," -","3.470'"
2022,"Premier League","Arsenal FC","Takehiro Tomiyasu","Right-Back","€25.00m","https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/331560/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","32","-","2","2 "," - "," -","1.270'"
2022,"Premier League","Arsenal FC","Ainsley Maitland-Niles","Right-Back","€8.00m","https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/285845/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","27","-","1","4 "," - "," -","1.764'"
2022,"Premier League","Arsenal FC","Ainsley Maitland-Niles","Right-Back","€8.00m","https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/285845/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","27","-","1","4 "," - "," -","1.764'"
2022,"Premier League","Arsenal FC","Cédric Soares","Right-Back","€3.00m","https://www.transfermarkt.com/cedric-soares/profil/spieler/112988","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/112988/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","12","-","-","- "," - "," -","407'"
2022,"Premier League","Arsenal FC","Cédric Soares","Right-Back","€3.00m","https://www.transfermarkt.com/cedric-soares/profil/spieler/112988","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/112988/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","12","-","-","- "," - "," -","407'"
2022,"Premier League","Arsenal FC","Reuell Walters","Right-Back","-","https://www.transfermarkt.com/reuell-walters/profil/spieler/878160","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/878160/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","23","-","-","3 "," - "," -","1.999'"
2022,"Premier League","Arsenal FC","Thomas Partey","Defensive Midfield","€35.00m","https://www.transfermarkt.com/thomas-partey/profil/spieler/230784","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/230784/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","40","3","-","6 "," - "," -","2.694'"
2022,"Premier League","Arsenal FC","Jorginho","Defensive Midfield","€25.00m","https://www.transfermarkt.com/jorginho/profil/spieler/102017","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/102017/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","41","3","1","4 "," - "," -","2.748'"
2022,"Premier League","Arsenal FC","Jorginho","Defensive Midfield","€25.00m","https://www.transfermarkt.com/jorginho/profil/spieler/102017","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/102017/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","41","3","1","4 "," - "," -","2.748'"
2022,"Premier League","Arsenal FC","Granit Xhaka","Defensive Midfield","€20.00m","https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/111455/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","47","9","7","8 "," - "," -","3.702'"
2022,"Premier League","Arsenal FC","Mohamed Elneny","Defensive Midfield","€6.00m","https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/160438/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","8","1","-","1 "," - "," -","354'"
2022,"Premier League","Arsenal FC","Bradley Ibrahim","Defensive Midfield","€400k","https://www.transfermarkt.com/bradley-ibrahim/profil/spieler/871837","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/871837/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","25","1","1","10 "," - "," -","1.883'"
2022,"Premier League","Arsenal FC","Albert Sambi Lokonga","Central Midfield","€15.00m","https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/381967/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","-","2 "," - "," -","1.397'"
2022,"Premier League","Arsenal FC","Albert Sambi Lokonga","Central Midfield","€15.00m","https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/381967/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","-","2 "," - "," -","1.397'"
2022,"Premier League","Arsenal FC","Matt Smith","Central Midfield","€350k","https://www.transfermarkt.com/matt-smith/profil/spieler/528894","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/528894/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","1","4","2 "," - "," -","2.091'"
2022,"Premier League","Arsenal FC","Cătălin Cîrjan","Central Midfield","€250k","https://www.transfermarkt.com/catalin-cirjan/profil/spieler/575219","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/575219/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","22","2","-","3 "," - "," -","1.090'"
2022,"Premier League","Arsenal FC","Mauro Bandeira","Central Midfield","-","https://www.transfermarkt.com/mauro-bandeira/profil/spieler/745846","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/745846/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","23","3","2","4 "," - "," -","1.391'"
2022,"Premier League","Arsenal FC","Martin Ødegaard","Attacking Midfield","€90.00m","https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/316264/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","45","15","7","5 "," - "," -","3.404'"
2022,"Premier League","Arsenal FC","Emile Smith Rowe","Attacking Midfield","€35.00m","https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/392765/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","15","-","2","- "," - "," -","241'"
2022,"Premier League","Arsenal FC","Fábio Vieira","Attacking Midfield","€25.00m","https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/537598/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","33","2","6","1 "," - "," -","1.415'"
2022,"Premier League","Arsenal FC","Ethan Nwaneri","","Ethan Nwaneri","https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/890719/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","27","6","4","2 "," - "," -","1.775'"
2022,"Premier League","Arsenal FC","Gabriel Martinelli","Left Winger","€80.00m","https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/655488/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","46","15","6","5 "," - "," -","3.440'"
2022,"Premier League","Arsenal FC","Leandro Trossard","Left Winger","€35.00m","https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/144028/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","39","8","12","1 "," - "," -","2.426'"
2022,"Premier League","Arsenal FC","Leandro Trossard","Left Winger","€35.00m","https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/144028/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","39","8","12","1 "," - "," -","2.426'"
2022,"Premier League","Arsenal FC","Charles Sagoe Jr","Left Winger","-","https://www.transfermarkt.com/charles-sagoe-jr/profil/spieler/796037","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/796037/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","30","6","3","1 "," - "," -","1.999'"
2022,"Premier League","Arsenal FC","Bukayo Saka","Right Winger","€120.00m","https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/433177/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","15","11","7 "," - "," -","3.744'"
2022,"Premier League","Arsenal FC","Nicolas Pépé","Right Winger","€18.00m","https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/343052/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","28","8","1","3 "," - "," -","2.145'"
2022,"Premier League","Arsenal FC","Nicolas Pépé","Right Winger","€18.00m","https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/343052/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","28","8","1","3 "," - "," -","2.145'"
2022,"Premier League","Arsenal FC","Marquinhos","","Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/668268","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/668268/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","22","6","4","- "," - "," 1","1.246'"
2022,"Premier League","Arsenal FC","Marquinhos","","Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/668268","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/668268/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","44","2","1","4 "," - "," -","3.644'"
2022,"Premier League","Arsenal FC","Reiss Nelson","Right Winger","€12.00m","https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/340325/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","18","3","3","- "," - "," -","590'"
2022,"Premier League","Arsenal FC","Amario Cozier-Duberry","Right Winger","€300k","https://www.transfermarkt.com/amario-cozier-duberry/profil/spieler/878150","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/878150/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","31","12","7","3 "," - "," -","2.550'"
2022,"Premier League","Arsenal FC","Gabriel Jesus","Centre-Forward","€75.00m","https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/363205/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","33","11","7","7 "," - "," -","2.347'"
2022,"Premier League","Arsenal FC","Eddie Nketiah","Centre-Forward","€25.00m","https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/340324/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","39","9","2","3 "," - "," -","1.861'"
2022,"Premier League","Arsenal FC","Khayon Edwards","Centre-Forward","€300k","https://www.transfermarkt.com/khayon-edwards/profil/spieler/741650","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/741650/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","15","4","1","2 "," - "," -","1.086'"
2022,"Premier League","Arsenal FC","Nathan Butler-Oyedeji","Centre-Forward","€100k","https://www.transfermarkt.com/nathan-butler-oyedeji/profil/spieler/638964","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/638964/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","29","6","2","1 "," - "," -","1.688'"
