"UID","Rec","Name","Inf","AT Apps","AT Gls","Salary","Min Fee Rls","Pas %","Str","xG"
98031331,"- -  -","Manuel Akanji","","231","10","$8,445,000 p/a","-","94%",17,"0.27"
20041862,"- -  -","Alphonso Davies","","192","19","$8,547,000 p/a","-","88%",12,"0.00"
28067800,"- -  -","Jack Grealish","Inj","276","42","$17,541,000 p/a","-","-",14,"-"
55041623,"- -  -","João Cancelo","","295","12","$14,292,000 p/a","-","91%",12,"0.26"
92023410,"- -  -","Antonio Rüdiger","Inj","310","14","$15,491,000 p/a","$265M","-",18,"-"
91104807,"- -  -","Leon Goretzka","","278","43","$14,956,000 p/a","-","95%",17,"0.19"
28100266,"- -  -","Marcus Rashford","","244","79","$19,490,000 p/a","-","87%",15,"2.78"
19099575,"- -  -","Danilo","nEU","350","30","$5,496,000 p/a","-","96%",13,"0.00"
85120944,"- -  -","Benjamin Pavard","","216","10","$8,133,000 p/a","-","-",13,"-"
43010773,"- -  -","Ciro Immobile","Inj","415","231","$7,938,000 p/a","-","83%",13,"0.40"
67211695,"- -  -","Theo Hernández","","212","24","$5,496,000 p/a","-","80%",14,"0.27"
28066083,"- -  -","Serge Gnabry","","219","82","$16,025,000 p/a","-","92%",11,"0.55"
156772,"- -  -","Toni Kroos","","463","48","$25,960,000 p/a","$536M","89%",13,"0.00"
85094520,"- -  -","Mike Maignan","","207","-","$3,846,000 p/a","-","89%",15,"0.00"
67197145,"- -  -","Lucas Hernández","Inj","165","2","$17,093,000 p/a","-","88%",14,"0.24"
85086031,"- -  -","Adrien Rabiot","","293","27","$9,609,000 p/a","-","93%",18,"0.07"
16010162,"- -  -","David Alaba","","394","28","$24,037,000 p/a","$911M","92%",13,"0.10"
48036304,"- -  -","Jules Koundé","","179","8","$10,177,000 p/a","$1.07B","-",14,"-"
35007944,"- -  -","Mats Hummels","","464","35","$9,081,000 p/a","-","94%",16,"0.00"
67131771,"- -  -","Luis Alberto","","357","78","$4,960,000 p/a","-","88%",12,"0.44"
76049803,"- -  -","Luis Díaz","","212","52","$5,847,000 p/a","-","90%",10,"0.20"
92026209,"- -  -","Hakan Çalhanoğlu","","367","77","$11,141,000 p/a","-","93%",9,"0.01"
34000647,"- -  -","Olivier Giroud","","511","195","$4,810,000 p/a","-","83%",18,"0.77"
24016925,"- -  -","Mateo Kovačić","Inj","342","16","$10,719,000 p/a","-","89%",13,"0.00"
67047092,"- -  -","Koke","","489","44","$17,082,000 p/a","$161M","91%",12,"0.26"
67178177,"- -  -","José Gayà","","335","10","$3,748,000 p/a","$107M","96%",11,"0.13"
67184349,"- -  -","Iñaki Williams","","345","79","$9,615,000 p/a","$145M","89%",13,"1.05"
43252460,"- -  -","Alessandro Bastoni","","153","6","$10,916,000 p/a","-","93%",15,"0.00"
62182055,"- -  -","Dušan Vlahović","nEU","165","65","$13,883,000 p/a","-","76%",18,"2.70"
67197125,"- -  -","Marco Asensio","","297","51","$7,631,000 p/a","-","91%",12,"0.02"
83169822,"- -  -","João Félix","","171","52","$14,568,000 p/a","$375M","87%",9,"0.49"
43161651,"- -  -","Federico Chiesa","","203","39","$9,920,000 p/a","-","82%",13,"1.48"
19297055,"- -  -","Bruno Guimarães","","172","16","$10,394,000 p/a","-","87%",14,"0.18"
67139735,"- -  -","Dani Carvajal","","350","9","$11,111,000 p/a","$375M","89%",13,"0.00"
14020367,"- -  -","Emiliano Martínez","","188","-","$8,121,000 p/a","-","93%",12,"0.00"
14004589,"- -  -","Nicolás Otamendi","","384","25","$3,760,000 p/a","$32M","97%",15,"0.10"
14043255,"- -  -","Guido Rodríguez","","293","22","$2,744,000 p/a","$86M","91%",12,"0.32"
67117360,"- -  -","Álvaro Morata","","424","157","$10,128,000 p/a","$181M","92%",13,"2.36"
27066387,"- -  -","Andreas Christensen","","183","6","$12,855,000 p/a","$536M","91%",11,"0.00"
309147,"- -  -","Pepe","Wnt","518","34","$3,205,000 p/a","-","93%",14,"0.15"
48042326,"- -  -","Aurélien Tchouameni","","136","5","$13,354,000 p/a","$463M","93%",16,"0.00"
85140301,"- -  -","Christopher Nkunku","Inj","174","55","$19,490,000 p/a","-","-",12,"-"
85133751,"- -  -","Ferland Mendy","","198","10","$11,111,000 p/a","$268M","86%",15,"0.00"
7458272,"- -  -","Sergio Ramos","","580","80","$2,600,000 p/a","$39M","91%",14,"0.09"
43298481,"- -  -","Sandro Tonali","","188","14","$8,608,000 p/a","-","92%",14,"0.37"
78060464,"- -  -","José Giménez","Inj","224","6","$5,356,000 p/a","$62M","87%",15,"0.20"
48043873,"- -  -","Randal Kolo Muani","IPR","126","39","$11,217,000 p/a","-","100%",13,"0.00"
67201634,"- -  -","André Onana","","216","-","$7,146,000 p/a","-","86%",13,"0.00"
28103590,"- -  -","Mason Mount","Inj","193","43","$12,993,000 p/a","-","-",10,"-"
59130638,"- -  -","Khvicha Kvaratskhelia","nEU","145","34","$1,650,000 p/a","-","93%",10,"0.75"
14044150,"- -  -","Paulo Dybala","IPR","368","133","$8,923,000 p/a","-","81%",10,"0.52"
91151081,"- -  -","Kai Havertz","","215","55","$14,292,000 p/a","-","85%",13,"0.47"
28009478,"- -  -","Wojciech Szczęsny","","401","-","$12,898,000 p/a","-","86%",15,"0.00"
37024470,"- -  -","Memphis Depay","","302","121","$10,301,000 p/a","$429M","85%",14,"0.78"
27010680,"- -  -","Christian Eriksen","","426","82","$11,044,000 p/a","-","90%",7,"0.32"
67220143,"- -  -","Mikel Oyarzábal","","265","70","$2,402,000 p/a","$80M","87%",14,"0.91"
61043456,"- -  -","Andrew Robertson","","367","15","$10,394,000 p/a","-","93%",12,"0.00"
28018613,"- -  -","Kieran Trippier","","398","11","$6,497,000 p/a","-","86%",13,"0.38"
91013383,"- -  -","Marco Reus","","418","158","$7,478,000 p/a","-","92%",9,"0.02"
28108035,"- -  -","Reece James","Inj","143","10","$16,241,000 p/a","-","-",18,"-"
67175052,"- -  -","Thomas Partey","Inj","314","30","$10,394,000 p/a","-","-",14,"-"
67211760,"- -  -","Mikel Merino","","258","24","$2,674,000 p/a","$48M","90%",16,"0.67"
28104124,"- -  -","Trent Alexander-Arnold","Inj","198","12","$12,473,000 p/a","-","-",14,"-"
19242277,"- -  -","Raphinha","","227","55","$12,855,000 p/a","$1.07B","87%",9,"1.72"
67200923,"- -  -","Unai Simón","","242","-","$4,585,000 p/a","$1.07B","94%",12,"0.00"
67115823,"- -  -","Gerard Moreno","","391","172","$2,866,000 p/a","$107M","76%",14,"2.88"
14031132,"- -  -","Lucas Ocampos","","367","67","$1,665,000 p/a","$70M","85%",14,"2.27"
2000049413,"- -  -","Gavi","","76","4","$8,034,000 p/a","$1.07B","88%",11,"0.00"
67276122,"- -  -","Ansu Fati","IPR","82","24","$12,855,000 p/a","$1.07B","80%",11,"1.18"
67010455,"- -  -","Iago Aspas","","526","191","$2,778,000 p/a","$54M","85%",7,"0.56"
67196198,"- -  -","Marcos Llorente","","234","21","$8,570,000 p/a","$214M","93%",15,"0.53"
48037335,"- -  -","Marcus Thuram","","216","48","$8,238,000 p/a","$102M","86%",16,"1.65"
93070271,"- -  -","Viktor Gyökeres","","209","75","$1,977,000 p/a","$107M","91%",18,"3.42"
14048343,"- -  -","Rodrigo De Paul","","348","45","$6,211,000 p/a","$172M","-",12,"-"
55012106,"- -  -","William Carvalho","","333","23","$2,049,000 p/a","$129M","-",19,"-"
24048100,"- -  -","Dani Olmo","","196","37","$11,217,000 p/a","$64M","83%",10,"1.10"
14130029,"- -  -","Cristian Romero","","162","6","$11,369,000 p/a","-","94%",15,"0.14"
14024702,"- -  -","Leandro Paredes","nEU","240","22","$6,181,000 p/a","-","94%",14,"1.16"
83169226,"- -  -","Diogo Costa","","128","-","$1,969,000 p/a","$80M","87%",13,"0.00"
29113879,"- -  -","Kalvin Phillips","Trn","230","13","$10,719,000 p/a","-","83%",14,"0.60"
34012563,"- -  -","Ivan Perišić","Trn","461","117","$11,694,000 p/a","-","-",12,"-"
89056845,"- -  -","Ferran Torres","","167","26","$3,899,000 p/a","$1.24B","86%",13,"1.79"
67288555,"- -  -","Xavi Simons","","46","20","$6,410,000 p/a","-","84%",9,"2.03"
37062185,"- -  -","Cody Gakpo","","157","61","$7,146,000 p/a","-","87%",12,"1.74"
61070563,"- -  -","Kieran Tierney","","198","8","$7,146,000 p/a","-","91%",11,"0.04"
67202350,"- -  -","Dani Ceballos","","227","12","$11,111,000 p/a","$536M","-",10,"-"
37052843,"- -  -","Denzel Dumfries","","258","24","$3,439,000 p/a","-","87%",15,"0.07"
92021718,"- -  -","Emre Can","","311","30","$8,547,000 p/a","-","88%",16,"1.41"
14129337,"- -  -","Nahuel Molina","","149","15","$2,411,000 p/a","$117M","93%",12,"0.00"
49039004,"- -  -","William Saliba","","116","3","$12,343,000 p/a","-","94%",16,"0.46"
59006269,"- -  -","Henrikh Mkhitaryan","nEU","473","146","$5,217,000 p/a","-","90%",10,"0.05"
67229630,"- -  -","Youssef En-Nesyri","IPR","209","62","$3,203,000 p/a","$86M","78%",14,"1.42"
43295814,"- -  -","Dejan Kulusevski","","147","25","$9,095,000 p/a","-","85%",16,"0.86"
14044037,"- -  -","Marcos Acuña","","374","33","$1,682,000 p/a","$38M","91%",12,"0.30"
29083750,"- -  -","Nick Pope","","291","-","$6,497,000 p/a","-","74%",13,"0.00"
19351309,"- -  -","Gabriel Martinelli","Inj","110","32","$12,993,000 p/a","-","-",11,"-"
7452450,"- -  -","Raúl Albiol","","572","16","$2,219,000 p/a","$32M","95%",15,"0.00"
14043349,"- -  -","Ángel Correa","","321","65","$5,356,000 p/a","$118M","67%",11,"0.00"
67103537,"- -  -","Isco","","388","68","$2,259,000 p/a","$69M","82%",13,"1.02"
16202373,"- -  -","Dominik Szoboszlai","","164","44","$7,796,000 p/a","-","85%",11,"0.15"
19265858,"- -  -","Richarlison","Wnt","271","67","$11,369,000 p/a","-","82%",13,"1.04"
43093171,"- -  -","Piotr Zieliński","Frt","337","40","$6,942,000 p/a","$107M","87%",11,"0.18"
8428653,"- -  -","Hugo Lloris","Inj","579","-","$7,796,000 p/a","-","-",13,"-"
67246385,"- -  -","Martín Zubimendi","Wnt","168","7","$2,369,000 p/a","$64M","92%",14,"0.37"
28093567,"- -  -","James Maddison","","263","66","$11,044,000 p/a","-","83%",10,"0.12"
43036641,"- -  -","Jorginho","","414","36","$7,146,000 p/a","-","90%",9,"0.21"
69000199,"- -  -","Yann Sommer","","527","-","$4,178,000 p/a","-","96%",11,"0.00"
8826969,"- -  -","Keylor Navas","IPR","335","-","$12,820,000 p/a","-","-",13,"-"
43143488,"- -  -","Federico Dimarco","","174","13","$3,171,000 p/a","-","87%",11,"0.00"
67045428,"- -  -","Pablo Sarabia","","389","78","$7,146,000 p/a","-","80%",10,"0.64"
78016342,"- -  -","Sebastián Coates","","349","24","$2,017,000 p/a","$48M","92%",18,"0.67"
71081391,"- -  -","Oleksandr Zinchenko","","156","3","$7,796,000 p/a","-","83%",10,"0.00"
71099066,"- -  -","Artem Dovbyk","","165","73","$1,835,000 p/a","$65M","91%",17,"1.80"
43017197,"- -  -","Pierre-Emerick Aubameyang","","464","227","$9,748,000 p/a","-","90%",10,"0.18"
67216396,"- -  -","Fabián","Wnt","253","28","$2,973,000 p/a","-","80%",12,"0.40"
28030268,"- -  -","Callum Wilson","","320","124","$7,146,000 p/a","-","82%",16,"1.56"
91193048,"- -  -","Florian Wirtz","","81","15","$4,807,000 p/a","-","83%",8,"1.62"
91018389,"- -  -","Joël Matip","","338","27","$9,095,000 p/a","-","-",14,"-"
23127918,"- -  -","Mehdi Taremi","","280","154","$2,089,000 p/a","$64M","83%",14,"2.43"
29076105,"- -  -","Luke Shaw","Inj","239","3","$12,993,000 p/a","-","-",16,"-"
16147659,"- -  -","Konrad Laimer","","207","14","$9,081,000 p/a","-","97%",12,"0.00"
98003821,"- -  -","Granit Xhaka","","418","36","$6,944,000 p/a","-","93%",14,"0.16"
48037162,"- -  -","Robin Le Normand","Wnt","224","6","$2,258,000 p/a","$64M","92%",16,"0.35"
91119265,"- -  -","Julian Brandt","","298","61","$7,478,000 p/a","-","89%",10,"1.68"
85093001,"- -  -","Thomas Lemar","Inj","253","26","$6,936,000 p/a","$204M","-",9,"-"
67276230,"- -  -","Nico Williams","","104","15","$2,229,000 p/a","$123M","87%",14,"1.08"
43036586,"- -  -","Leonardo Spinazzola","","230","7","$5,956,000 p/a","-","92%",11,"0.00"
34011687,"- -  -","Alexandre Lacazette","","401","183","$5,769,000 p/a","-","83%",12,"0.77"
63012964,"- -  -","Stanislav Lobotka","","347","8","$5,945,000 p/a","-","95%",10,"0.02"
19383257,"- -  -","Yan Couto","IPR","80","5","$4,026,000 p/a","-","89%",10,"1.18"
48030711,"- -  -","André-Franck Zambo Anguissa","nEU","239","5","$3,706,000 p/a","-","80%",16,"0.85"
29114975,"- -  -","Nabil Fekir","Inj","259","74","$6,868,000 p/a","$107M","-",17,"-"
67199158,"- -  -","Brais Méndez","","252","36","$2,148,000 p/a","$64M","82%",11,"0.35"
14229525,"- -  -","Enzo Fernández","","94","11","$11,694,000 p/a","-","89%",13,"0.25"
14157184,"- -  -","Alexis Mac Allister","","180","28","$9,745,000 p/a","-","90%",12,"0.22"
14186894,"- -  -","Juan Foyth","Wnt","92","3","$1,878,000 p/a","$45M","84%",13,"0.17"
55083779,"- -  -","Diogo Jota","","260","90","$9,095,000 p/a","-","81%",11,"1.02"
43075156,"- -  -","Giovanni Di Lorenzo","","361","18","$5,956,000 p/a","-","84%",14,"0.00"
43017499,"- -  -","Francesco Acerbi","","445","25","$2,978,000 p/a","-","93%",17,"0.00"
28108033,"- -  -","Marc Guéhi","Inj","126","3","$2,923,000 p/a","-","98%",14,"0.00"
67030707,"- -  -","Dani Parejo","","512","81","$2,105,000 p/a","$40.5M","90%",10,"0.00"
13160655,"- -  -","Reinildo","Inj","167","6","$2,059,000 p/a","$98M","-",13,"-"
18101745,"- -  -","Loïs Openda","","143","57","$5,876,000 p/a","$91M","76%",13,"1.36"
67030696,"- -  -","Nacho","","390","19","$8,585,000 p/a","$214M","94%",15,"0.00"
28049740,"- -  -","Harry Maguire","","394","21","$12,993,000 p/a","-","95%",17,"0.62"
67055991,"- -  -","Joselu","","429","130","$3,115,000 p/a","$48.5M","84%",15,"0.00"
24060473,"- -  -","Joško Gvardiol","","105","6","$12,993,000 p/a","-","89%",16,"0.00"
55070285,"- -  -","João Palhinha","","226","12","$6,497,000 p/a","-","97%",16,"0.74"
62012567,"- -  -","Stefan Savić","Rst","343","9","$4,808,000 p/a","$86M","91%",14,"0.00"
85086702,"- -  -","Anthony Martial","","260","73","$16,241,000 p/a","-","100%",13,"1.08"
78040720,"- -  -","Matías Vecino","IPR","302","27","$3,771,000 p/a","-","85%",15,"0.19"
43270517,"- -  -","Nicolò Zaniolo","","125","22","$3,682,000 p/a","$37.5M","86%",17,"1.09"
18077264,"- -  -","Youri Tielemans","","340","52","$9,745,000 p/a","-","100%",10,"0.00"
8169215,"- -  -","Axel Witsel","","479","64","$6,685,000 p/a","$74M","89%",14,"0.61"
29111433,"- -  -","David Raya","IPR","267","-","$4,872,000 p/a","-","84%",11,"0.00"
67217522,"- -  -","Pau Torres","","240","13","$7,796,000 p/a","-","91%",16,"0.31"
29141472,"- -  -","Benjamin White","IPR","215","5","$5,847,000 p/a","-","95%",14,"0.15"
28097980,"- -  -","Fikayo Tomori","nEU","180","4","$4,810,000 p/a","-","95%",15,"0.07"
29137172,"- -  -","Aaron Ramsdale","IPR","190","-","$7,796,000 p/a","-","55%",15,"0.00"
29128536,"- -  -","Ben Chilwell","","169","12","$14,617,000 p/a","-","89%",13,"0.38"
67135344,"- -  -","Lucas Vázquez","","363","42","$9,935,000 p/a","$536M","80%",11,"0.00"
67157624,"- -  -","Kepa Arrizabalaga","","301","-","$11,044,000 p/a","-","-",12,"-"
72044918,"- -  -","Tyler Adams","","188","3","$3,248,000 p/a","-","88%",12,"0.26"
18045347,"- -  -","Divock Origi","","241","45","$5,496,000 p/a","-","85%",14,"0.87"
67296654,"- -  -","Alejandro Balde","","58","1","$964,000 p/a","$166M","90%",10,"0.03"
12087972,"- -  -","Nicolas Jackson","Inj","77","18","$7,796,000 p/a","-","76%",13,"0.28"
28097985,"- -  -","Tammy Abraham","Inj","242","99","$6,181,000 p/a","-","-",14,"-"
85078880,"- -  -","Clément Lenglet","","260","9","$6,160,000 p/a","$321M","-",14,"-"
53174131,"- -  -","Victor Boniface","Inj","86","22","$2,671,000 p/a","-","-",17,"-"
48032338,"- -  -","Ismaël Bennacer","Inj","208","8","$7,542,000 p/a","-","-",11,"-"
85075605,"- -  -","Benjamin Mendy","","218","4","$1,438,000 p/a","-","84%",16,"0.00"
85075595,"- -  -","Kurt Zouma","Inj","285","16","$6,497,000 p/a","-","94%",20,"0.00"
19242094,"- -  -","Gabriel","Inj","171","15","$6,497,000 p/a","-","94%",17,"0.07"
72046884,"- -  -","Matt Turner","IPR","134","-","$2,599,000 p/a","-","54%",14,"0.00"
67104772,"- -  -","Íñigo Martínez","","410","25","$9,615,000 p/a","$429M","-",15,"-"
85071175,"- -  -","Wissam Ben Yedder","","407","195","$8,333,000 p/a","-","89%",12,"2.03"
91107360,"- -  -","Niklas Süle","","258","15","$11,752,000 p/a","-","92%",18,"0.00"
67153376,"- -  -","Álex Grimaldo","","294","25","$6,410,000 p/a","-","86%",8,"0.13"
28108490,"- -  -","Jadon Sancho","Trn","162","47","$17,865,000 p/a","-","-",8,"-"
19260918,"- -  -","David Neres","","172","50","$2,303,000 p/a","$107M","85%",11,"0.74"
43093395,"- -  -","Alessio Romagnoli","Wnt","277","13","$5,956,000 p/a","-","89%",16,"0.00"
85052016,"- -  -","Jordan Veretout","","402","55","$5,945,000 p/a","-","91%",12,"1.13"
62000307,"- -  -","Nemanja Matić","Trn","457","20","$2,653,000 p/a","-","89%",17,"0.00"
19270493,"- -  -","Bremer","nEU","155","16","$9,920,000 p/a","-","94%",18,"0.15"
29116247,"- -  -","Ivan Toney","Sus","331","140","$2,274,000 p/a","-","-",15,"-"
37052470,"- -  -","Noussair Mazraoui","Wnt","174","19","$8,547,000 p/a","-","96%",10,"0.00"
76015142,"- -  -","Luis Muriel","nEU","367","119","$2,475,000 p/a","-","92%",14,"0.31"
67033300,"- -  -","César Azpilicueta","","526","13","$7,478,000 p/a","$54M","89%",12,"0.00"
19030933,"- -  -","Neto","","231","-","$6,497,000 p/a","-","79%",15,"0.00"
18054004,"- -  -","Leandro Trossard","","312","89","$7,146,000 p/a","-","75%",9,"0.16"
48037391,"- -  -","Matteo Guendouzi","Trn","182","9","$2,785,000 p/a","-","80%",12,"1.06"
28120042,"- -  -","Cole Palmer","","20","1","$4,872,000 p/a","-","78%",8,"0.19"
1410956,"- -  -","Leonardo Bonucci","Trn","489","37","$3,205,000 p/a","-","-",14,"-"
16045721,"- -  -","Marcel Sabitzer","","397","96","$8,012,000 p/a","-","88%",12,"0.42"
98040383,"- -  -","Gregor Kobel","","188","-","$3,739,000 p/a","-","95%",15,"0.00"
19340940,"- -  -","Pepê","","160","31","$1,769,000 p/a","$80M","82%",9,"1.29"
43167354,"- -  -","Manuel Locatelli","IPR","211","11","$5,351,000 p/a","-","85%",13,"0.00"
14008030,"- -  -","Nicolás Tagliafico","","347","14","$3,590,000 p/a","-","89%",13,"0.05"
92012109,"- -  -","Bernd Leno","","432","-","$5,522,000 p/a","-","64%",12,"0.00"
14023371,"- -  -","Germán Pezzella","","293","15","$2,378,000 p/a","$44.5M","92%",14,"0.11"
14094572,"- -  -","Rodrigo Bentancur","Inj","219","8","$6,497,000 p/a","-","-",14,"-"
92018043,"- -  -","Niclas Füllkrug","","288","101","$6,410,000 p/a","-","-",16,"-"
59138294,"- -  -","Giorgi Mamardashvili","","118","-","$1,818,000 p/a","$107M","83%",15,"0.00"
93070286,"- -  -","Alexander Isak","","189","73","$7,796,000 p/a","-","91%",12,"1.41"
28106999,"- -  -","Brahim Díaz","IPR","116","15","$7,799,000 p/a","$803M","83%",6,"0.65"
85141999,"- -  -","Presnel Kimpembe","Inj","163","1","$10,683,000 p/a","-","-",15,"-"
83188780,"- -  -","Matheus Nunes","IPR","131","10","$8,445,000 p/a","-","94%",14,"0.31"
93023425,"- -  -","Victor Lindelöf","Wnt","354","9","$11,044,000 p/a","-","90%",13,"0.13"
67103536,"- -  -","Juan Bernat","Inj","239","12","$8,974,000 p/a","-","-",9,"-"
28068727,"- -  -","Ruben Loftus-Cheek","nEU","161","12","$5,496,000 p/a","-","84%",17,"0.29"
67107819,"- -  -","Denis Suárez","","282","21","$1,878,000 p/a","$54M","-",11,"-"
14005628,"- -  -","Erik Lamela","Wnt","326","52","$3,342,000 p/a","$48M","89%",12,"0.06"
29076100,"- -  -","James Ward-Prowse","","347","49","$6,497,000 p/a","-","90%",12,"0.00"
67173048,"- -  -","Borja Iglesias","Trn","361","157","$1,629,000 p/a","$51M","86%",16,"1.14"
67156425,"- -  -","Raúl De Tomás","","319","131","$3,431,000 p/a","$51M","84%",13,"2.27"
92074020,"- -  -","Christian Pulisic","","192","33","$5,496,000 p/a","-","88%",10,"0.52"
28116427,"- -  -","Eric García","","74","1","$3,214,000 p/a","$429M","95%",13,"0.00"
76010707,"- -  -","Juan Cuadrado","","399","44","$4,960,000 p/a","-","92%",8,"0.00"
67080310,"- -  -","Marcos Alonso","Wnt","327","38","$6,497,000 p/a","$54M","-",15,"-"
19259027,"- -  -","Renan Lodi","Trn","147","4","$4,285,000 p/a","-","83%",11,"1.09"
