"Unique_ID","Name_Detailed","Division","Nationality","Height","Age","Preferred_Foot","National_Team","Agility","Kicking","Jumping_Reach","Heading","Finishing","Dribbling","Balance","Anticipation","Aerial_Reach","Acceleration","One_On_Ones","Tackling","Stamina","Pace","Passing","Positioning","Strength","Vision","Scout_recommendation","Player_Status_Information_General","Continente","Preferred_Foot_dummy","National_Team_dummy","Europa","5_grandes_ligas"
13158205,"Victor Osimhen","Italian Serie A","NGA",73,24,"Right","Main",15,1,15,18,18,13,16,15,1,17,2,7,13,19,12,5,15,11,"- -  -","nEU","Africa",0,1,0,1
14110660,"Lautaro Martínez","Italian Serie A","ARG",69,26,"Right","Main",16,2,11,16,17,14,14,15,1,16,2,8,19,16,12,7,13,12,"- -  -","nEU","Sudamerica",0,1,0,1
92020288,"Heung-Min Son","English Premier Division","KOR",72,31,"Either","Main",14,1,10,8,18,12,12,17,1,16,2,6,16,16,13,7,10,12,"- -  -","","Asia",0,1,0,1
91138280,"Leroy Sané","Bundesliga","GER",72,27,"Left","",16,3,11,8,14,18,15,15,1,17,1,8,13,18,16,8,11,16,"- -  -","","Europa",1,0,1,1
85075627,"Raphaël Varane","English Premier Division","FRA",75,30,"Right","",14,2,17,17,6,8,11,17,3,15,2,16,14,15,13,16,15,6,"- -  -","Inj","Europa",0,0,1,1
28060397,"John Stones","English Premier Division","ENG",74,29,"Right","",13,1,16,14,8,14,12,16,2,14,1,16,16,15,16,16,15,14,"- -  -","Inj","Europa",0,0,1,1
35017428,"Marc-André ter Stegen","Spanish First Division","GER",74,31,"Right","",14,18,16,7,1,3,16,17,13,14,15,2,13,11,17,13,15,9,"- -  -","","Europa",0,0,1,1
8718372,"Manuel Neuer","Bundesliga","GER",76,37,"Right","",14,18,18,10,7,12,14,13,15,9,15,11,12,10,16,16,16,16,"- -  -","Inj","Europa",0,0,1,1
28108494,"Phil Foden","English Premier Division","ENG",67,23,"Left","Main",17,3,7,8,14,17,15,14,2,16,3,8,15,16,17,10,9,17,"- -  -","","Europa",1,1,1,1
43139595,"Nicolò Barella","Italian Serie A","ITA",68,26,"Right","Main",14,4,7,6,12,14,16,14,2,15,3,16,17,14,16,13,12,16,"- -  -","","Europa",0,1,1,1
19220266,"Gabriel Jesus","English Premier Division","BRA",69,26,"Right","Main",16,3,10,15,14,16,15,16,1,15,2,8,15,15,14,10,14,14,"- -  -","","Sudamerica",0,1,0,1
83111483,"Rafael Leão","Italian Serie A","POR",74,24,"Right","Main",18,3,13,11,14,17,16,15,2,17,1,6,12,17,14,6,14,14,"- -  -","","Europa",0,1,1,1
67228634,"Achraf Hakimi","Ligue 1 Uber Eats","MAR",71,24,"Right","Main",15,2,9,8,13,13,14,13,2,18,2,13,15,19,14,11,11,13,"- -  -","","Africa",0,1,0,0
653054,"Luka Modrić","Spanish First Division","CRO",68,38,"Right","Main",13,3,7,8,9,17,13,17,2,11,2,11,11,11,19,15,8,19,"- -  -","","Europa",0,1,1,1
43252073,"Gianluigi Donnarumma","Ligue 1 Uber Eats","ITA",77,24,"Right","Main",15,13,18,7,3,4,17,15,15,10,16,7,15,11,7,15,16,8,"- -  -","","Europa",0,1,1,0
64016316,"Jan Oblak","Spanish First Division","SVN",74,30,"Right","Main",13,16,13,1,1,3,13,11,15,11,16,1,13,13,15,16,13,8,"- -  -","","Europa",0,1,1,1
85140178,"Ousmane Dembélé","Ligue 1 Uber Eats","FRA",70,26,"Either","Main",17,2,8,7,12,18,11,11,1,18,1,6,12,18,13,5,11,15,"- -  -","","Europa",0,1,1,0
49056243,"Eduardo Camavinga","Spanish First Division","FRA",72,20,"Left","Main",14,1,11,14,11,12,15,17,2,16,2,15,19,16,15,15,17,13,"- -  -","","Europa",1,1,1,1
85104424,"Kingsley Coman","Bundesliga","FRA",70,27,"Right","Main",17,2,10,8,12,18,12,13,2,18,2,8,12,17,14,8,10,14,"- -  -","","Europa",0,1,1,1
18007344,"Romelu Lukaku","Italian Serie A","BEL",75,30,"Left","",9,2,16,15,18,13,20,14,1,15,1,9,14,15,13,5,20,11,"- -  -","","Europa",1,0,1,1
63013145,"Milan Škriniar","Ligue 1 Uber Eats","SVK",74,28,"Right","Main",11,2,16,16,9,9,16,16,1,13,1,17,15,14,12,14,18,10,"- -  -","","Europa",0,1,1,0
43124203,"Bruno Fernandes","English Premier Division","POR",70,29,"Right","Main",15,3,9,10,15,11,13,17,1,13,1,8,19,13,18,8,10,18,"- -  -","","Europa",0,1,1,1
67022040,"Thiago","English Premier Division","ESP",69,32,"Right","",17,1,10,10,8,16,15,16,1,13,4,14,14,11,17,13,9,18,"- -  -","Inj","Europa",0,0,1,1
78085068,"Ronald Araujo","Spanish First Division","URU",74,24,"Right","Main",13,1,16,17,11,11,12,16,2,14,2,17,16,16,11,15,16,11,"- -  -","","Sudamerica",0,1,0,1
28054109,"Raheem Sterling","English Premier Division","ENG",68,28,"Right","Main",18,1,8,12,13,15,14,18,3,17,3,8,18,15,13,9,12,13,"- -  -","","Europa",0,1,1,1
28106491,"Declan Rice","English Premier Division","ENG",73,24,"Right","Main",13,2,14,14,9,14,14,18,3,13,1,17,17,14,15,17,14,14,"- -  -","","Europa",0,1,1,1
28122642,"Bukayo Saka","English Premier Division","ENG",70,22,"Left","Main",16,1,9,7,14,17,17,16,1,17,1,10,16,15,13,10,12,15,"- -  -","","Europa",1,1,1,1
28009441,"Kyle Walker","English Premier Division","ENG",70,33,"Right","Main",13,1,11,13,7,14,13,16,3,19,2,13,17,18,13,14,13,12,"- -  -","","Europa",0,1,1,1
53095137,"Martin Ødegaard","English Premier Division","NOR",70,24,"Left","Main",16,3,9,8,13,16,15,18,1,13,1,9,15,13,17,9,11,19,"- -  -","","Europa",1,1,1,1
37055843,"Matthijs de Ligt","Bundesliga","NED",74,24,"Right","Main",11,3,16,16,8,10,16,14,4,12,4,16,14,14,13,16,18,12,"- -  -","","Europa",0,1,1,1
19306929,"Rodrygo","Spanish First Division","BRA",69,22,"Right","Main",17,2,9,12,17,17,16,14,3,15,3,6,15,16,15,10,13,13,"- -  -","","Sudamerica",0,1,0,1
19163495,"Marquinhos","Ligue 1 Uber Eats","BRA",72,29,"Right","Main",13,2,14,16,8,10,16,17,1,13,2,16,16,14,14,16,14,13,"- -  -","","Sudamerica",0,1,0,0
67293495,"Pedri","Spanish First Division","ESP",69,20,"Right","Main",16,1,7,6,10,17,13,17,3,14,3,9,16,13,17,8,8,18,"- -  -","","Europa",0,1,1,1
78074594,"Federico Valverde","Spanish First Division","URU",72,25,"Right","Main",15,2,12,12,13,12,15,13,1,17,2,13,17,17,15,12,14,13,"- -  -","","Sudamerica",0,1,0,1
14183207,"Julián Álvarez","English Premier Division","ARG",67,23,"Right","Main",14,3,7,10,15,13,13,14,3,15,3,8,16,13,13,8,13,13,"- -  -","","Sudamerica",0,1,0,1
28124579,"Jamal Musiala","Bundesliga","GER",72,20,"Right","",18,2,10,8,13,19,16,14,1,14,1,10,13,16,15,9,9,15,"- -  -","","Europa",0,0,1,1
91003875,"İlkay Gündoğan","Spanish First Division","GER",71,32,"Right","",16,3,10,7,13,14,14,17,2,14,2,13,16,13,16,13,13,16,"- -  -","","Europa",0,0,1,1
89063073,"Kim Min-Jae","Bundesliga","KOR",75,26,"Right","Main",12,1,16,16,7,11,16,15,2,14,2,16,15,15,14,16,17,12,"- -  -","","Asia",0,1,0,1
14000219,"Ángel Di María","Portuguese Premier League","ARG",71,35,"Left","Main",16,4,10,5,13,18,12,16,1,13,3,7,12,12,18,4,9,18,"- -  -","Frt","Sudamerica",1,1,0,0
19061518,"Casemiro","English Premier Division","BRA",73,31,"Right","Main",11,4,14,16,11,11,15,17,3,11,3,16,14,12,14,16,17,13,"- -  -","","Sudamerica",0,1,0,1
37047745,"Frenkie de Jong","Spanish First Division","NED",71,26,"Right","Main",16,1,10,10,11,16,15,17,3,14,1,11,14,13,17,14,11,18,"- -  -","","Europa",0,1,1,1
8833628,"Thiago Silva","English Premier Division","BRA",71,38,"Right","Main",10,2,13,17,7,9,16,16,2,10,4,16,14,8,13,19,13,13,"- -  -","","Sudamerica",0,1,0,1
19273276,"Éder Militão","Spanish First Division","BRA",73,25,"Right","",15,3,15,15,8,12,15,16,1,16,1,16,16,16,14,16,16,12,"- -  -","Inj","Sudamerica",0,0,0,1
16182894,"Dayot Upamecano","Bundesliga","FRA",73,24,"Right","Main",12,3,15,14,7,12,16,14,3,15,2,17,14,17,16,15,17,16,"- -  -","","Europa",0,1,1,1
37025551,"Nathan Aké","English Premier Division","NED",71,28,"Left","Main",14,3,12,15,8,13,13,16,2,15,1,15,15,15,14,15,15,13,"- -  -","","Europa",1,1,1,1
35011448,"Thomas Müller","Bundesliga","GER",73,34,"Right","",12,2,13,14,12,11,16,16,3,12,3,11,16,13,15,11,11,16,"- -  -","","Europa",0,0,1,1
98031331,"Manuel Akanji","English Premier Division","SUI",74,28,"Right","Main",13,3,15,13,6,11,13,15,1,14,3,16,14,15,13,13,17,13,"- -  -","","Europa",0,1,1,1
20041862,"Alphonso Davies","Bundesliga","CAN",73,22,"Left","Main",14,4,11,9,9,17,12,11,2,19,2,14,15,19,12,10,12,12,"- -  -","","Norteamerica",1,1,0,1
28067800,"Jack Grealish","English Premier Division","ENG",69,28,"Right","",16,1,7,11,12,17,14,13,1,15,2,9,14,14,14,11,14,16,"- -  -","Inj","Europa",0,0,1,1
55041623,"João Cancelo","Spanish First Division","POR",72,29,"Right","Main",15,2,12,10,9,16,14,13,3,15,1,13,14,15,16,11,12,16,"- -  -","","Europa",0,1,1,1
92023410,"Antonio Rüdiger","Spanish First Division","GER",75,30,"Right","",10,2,15,15,7,10,17,15,1,17,1,17,17,16,12,14,18,10,"- -  -","Inj","Europa",0,0,1,1
91104807,"Leon Goretzka","Bundesliga","GER",74,28,"Right","",11,2,16,16,11,12,15,16,3,12,2,15,17,15,15,13,17,14,"- -  -","","Europa",0,0,1,1
28100266,"Marcus Rashford","English Premier Division","ENG",72,25,"Right","Main",16,1,12,12,16,15,16,14,1,18,2,3,15,17,14,4,15,13,"- -  -","","Europa",0,1,1,1
19099575,"Danilo","Italian Serie A","BRA",72,32,"Right","Main",13,4,12,13,8,11,13,16,2,13,3,15,14,13,14,16,13,14,"- -  -","nEU","Sudamerica",0,1,0,1
85120944,"Benjamin Pavard","Italian Serie A","FRA",73,27,"Right","Main",13,3,15,16,9,10,15,16,2,12,3,15,14,14,14,16,13,13,"- -  -","","Europa",0,1,1,1
43010773,"Ciro Immobile","Italian Serie A","ITA",73,33,"Right","Main",13,1,11,16,17,12,16,19,1,13,1,7,14,13,12,3,13,11,"- -  -","Inj","Europa",0,1,1,1
67211695,"Theo Hernández","Italian Serie A","FRA",72,25,"Left","Main",14,2,12,13,12,14,16,15,2,17,3,14,16,18,12,12,14,12,"- -  -","","Europa",1,1,1,1
28066083,"Serge Gnabry","Bundesliga","GER",69,28,"Right","",15,1,8,11,15,15,15,16,2,15,2,9,12,15,13,8,11,13,"- -  -","","Europa",0,0,1,1
156772,"Toni Kroos","Spanish First Division","GER",72,33,"Right","",9,4,10,7,13,13,12,16,3,10,2,9,10,10,20,13,13,18,"- -  -","","Europa",0,0,1,1
85094520,"Mike Maignan","Italian Serie A","FRA",75,28,"Right","Main",16,16,15,6,1,6,14,16,12,8,15,13,16,11,13,14,15,13,"- -  -","","Europa",0,1,1,1
67197145,"Lucas Hernández","Ligue 1 Uber Eats","FRA",72,27,"Left","Main",13,2,15,14,6,12,15,16,1,14,2,17,15,15,14,16,14,12,"- -  -","Inj","Europa",1,1,1,0
85086031,"Adrien Rabiot","Italian Serie A","FRA",74,28,"Left","Main",12,3,14,14,13,13,16,13,1,13,3,16,18,16,16,16,18,12,"- -  -","","Europa",1,1,1,1
16010162,"David Alaba","Spanish First Division","AUT",71,31,"Left","Main",13,2,12,13,10,12,14,14,2,15,1,13,14,15,16,15,13,13,"- -  -","","Europa",1,1,1,1
48036304,"Jules Koundé","Spanish First Division","FRA",70,24,"Right","Main",16,2,13,15,9,12,16,16,1,15,3,15,15,14,13,15,14,14,"- -  -","","Europa",0,1,1,1
35007944,"Mats Hummels","Bundesliga","GER",75,34,"Right","",9,3,16,16,8,11,16,18,1,9,1,17,11,12,16,16,16,16,"- -  -","","Europa",0,0,1,1
67131771,"Luis Alberto","Italian Serie A","ESP",72,30,"Right","",12,2,10,6,15,15,12,15,1,11,2,10,13,11,17,10,12,18,"- -  -","","Europa",0,0,1,1
76049803,"Luis Díaz","English Premier Division","COL",71,26,"Right","Main",17,3,10,13,14,17,14,13,3,17,1,5,13,16,14,8,10,14,"- -  -","","Sudamerica",0,1,0,1
92026209,"Hakan Çalhanoğlu","Italian Serie A","TUR",70,29,"Right","Main",14,3,7,7,13,11,12,14,1,12,2,13,13,12,18,12,9,17,"- -  -","","Europa",0,1,1,1
34000647,"Olivier Giroud","Italian Serie A","FRA",76,36,"Left","Main",14,3,17,19,16,11,19,18,2,10,3,8,14,12,12,7,18,14,"- -  -","","Europa",1,1,1,1
24016925,"Mateo Kovačić","English Premier Division","CRO",69,29,"Right","",12,3,9,10,8,16,16,16,3,15,4,15,14,14,14,12,13,15,"- -  -","Inj","Europa",0,0,1,1
67047092,"Koke","Spanish First Division","ESP",70,31,"Right","Main",12,2,9,9,12,13,15,15,3,13,3,14,15,13,16,15,12,15,"- -  -","","Europa",0,1,1,1
67178177,"José Gayà","Spanish First Division","ESP",68,28,"Left","Main",16,2,7,5,8,14,13,15,2,16,1,14,15,16,14,14,11,15,"- -  -","","Europa",1,1,1,1
67184349,"Iñaki Williams","Spanish First Division","GHA",73,29,"Right","Main",14,3,12,13,14,14,11,12,1,17,3,7,14,18,10,11,13,12,"- -  -","","Africa",0,1,0,1
43252460,"Alessandro Bastoni","Italian Serie A","ITA",75,24,"Left","Main",13,1,15,15,8,11,16,15,2,14,2,16,14,15,15,14,15,15,"- -  -","","Europa",1,1,1,1
62182055,"Dušan Vlahović","Italian Serie A","SRB",75,23,"Left","Main",13,1,15,15,17,12,16,18,3,12,1,7,16,15,12,5,18,11,"- -  -","nEU","Europa",1,1,1,1
67197125,"Marco Asensio","Ligue 1 Uber Eats","ESP",72,27,"Left","Main",15,3,10,8,15,16,14,15,2,15,1,8,14,14,16,10,12,16,"- -  -","","Europa",1,1,1,0
83169822,"João Félix","Spanish First Division","POR",70,23,"Right","",16,4,9,12,13,17,13,15,3,13,1,7,12,12,16,6,9,17,"- -  -","","Europa",0,0,1,1
43161651,"Federico Chiesa","Italian Serie A","ITA",69,25,"Right","Main",14,3,8,9,14,16,13,12,2,16,1,5,12,17,13,6,13,13,"- -  -","","Europa",0,1,1,1
19297055,"Bruno Guimarães","English Premier Division","BRA",72,25,"Right","Main",13,1,12,11,13,16,15,16,2,13,3,14,14,11,18,16,14,17,"- -  -","","Sudamerica",0,1,0,1
67139735,"Dani Carvajal","Spanish First Division","ESP",68,31,"Right","Main",14,1,8,10,10,13,17,15,3,15,3,15,16,14,13,15,13,12,"- -  -","","Europa",0,1,1,1
14020367,"Emiliano Martínez","English Premier Division","ARG",76,31,"Right","Main",16,14,15,5,1,3,13,15,16,10,17,3,12,10,12,13,12,7,"- -  -","","Sudamerica",0,1,0,1
14004589,"Nicolás Otamendi","Portuguese Premier League","ARG",72,35,"Right","Main",13,1,13,15,10,11,16,18,2,9,3,16,16,10,13,14,15,13,"- -  -","","Sudamerica",0,1,0,0
14043255,"Guido Rodríguez","Spanish First Division","ARG",73,29,"Right","Main",13,1,12,12,8,12,15,16,2,12,2,18,13,12,14,18,12,13,"- -  -","","Sudamerica",0,1,0,1
67117360,"Álvaro Morata","Spanish First Division","ESP",74,30,"Right","Main",14,3,14,16,15,13,14,16,1,15,1,8,14,15,13,5,13,13,"- -  -","","Europa",0,1,1,1
27066387,"Andreas Christensen","Spanish First Division","DEN",74,27,"Right","Main",14,2,14,14,9,11,12,17,3,12,1,14,13,15,13,16,11,10,"- -  -","","Europa",0,1,1,1
309147,"Pepe","Portuguese Premier League","POR",74,40,"Right","Main",12,4,16,15,8,10,12,15,3,11,1,16,14,13,12,15,14,10,"- -  -","Wnt","Europa",0,1,1,0
48042326,"Aurélien Tchouameni","Spanish First Division","FRA",74,23,"Right","",14,3,14,14,6,12,15,16,2,14,2,16,17,14,15,15,16,14,"- -  -","","Europa",0,0,1,1
85140301,"Christopher Nkunku","English Premier Division","FRA",70,25,"Right","",16,2,10,12,14,16,12,16,1,15,1,8,14,16,15,8,12,15,"- -  -","Inj","Europa",0,0,1,1
85133751,"Ferland Mendy","Spanish First Division","FRA",71,28,"Left","Main",15,3,11,9,7,13,16,14,3,17,3,13,16,16,12,14,15,11,"- -  -","","Europa",1,1,1,1
7458272,"Sergio Ramos","Spanish First Division","ESP",72,37,"Right","",12,3,15,18,11,12,14,14,2,12,2,15,13,13,15,14,14,13,"- -  -","","Europa",0,0,1,1
43298481,"Sandro Tonali","English Premier Division","ITA",71,23,"Right","Main",14,1,9,9,9,13,15,15,3,13,1,15,15,14,14,14,14,14,"- -  -","","Europa",0,1,1,1
78060464,"José Giménez","Spanish First Division","URU",73,28,"Right","Main",11,1,13,16,7,11,13,15,1,12,3,15,14,12,12,15,15,11,"- -  -","Inj","Sudamerica",0,1,0,1
48043873,"Randal Kolo Muani","Ligue 1 Uber Eats","FRA",74,24,"Right","",15,2,15,13,14,14,14,14,1,17,1,6,14,17,13,6,13,14,"- -  -","IPR","Europa",0,0,1,0
67201634,"André Onana","English Premier Division","CMR",75,27,"Right","",15,15,16,5,2,3,15,13,15,11,12,3,13,11,14,14,13,10,"- -  -","","Africa",0,0,0,1
28103590,"Mason Mount","English Premier Division","ENG",71,24,"Right","",13,3,9,8,14,11,10,14,1,14,3,11,19,15,14,14,10,12,"- -  -","Inj","Europa",0,0,1,1
59130638,"Khvicha Kvaratskhelia","Italian Serie A","GEO",72,22,"Right","",18,1,9,11,15,19,13,12,3,15,1,7,11,14,16,5,10,15,"- -  -","nEU","Otros",0,0,0,1
14044150,"Paulo Dybala","Italian Serie A","ARG",70,29,"Left","",18,4,7,11,16,17,18,16,2,14,4,3,9,13,17,4,10,17,"- -  -","IPR","Sudamerica",1,0,0,1
91151081,"Kai Havertz","English Premier Division","GER",75,24,"Left","",13,4,14,14,11,14,13,15,1,14,2,10,15,14,16,11,13,15,"- -  -","","Europa",1,0,1,1
28009478,"Wojciech Szczęsny","Italian Serie A","POL",77,33,"Right","Main",15,16,17,6,3,3,11,13,15,10,16,3,12,12,11,14,15,10,"- -  -","","Europa",0,1,1,1
37024470,"Memphis Depay","Spanish First Division","NED",69,29,"Right","",14,2,9,11,15,15,14,13,3,15,1,3,13,16,15,5,14,14,"- -  -","","Europa",0,0,1,1
27010680,"Christian Eriksen","English Premier Division","DEN",70,31,"Right","Main",12,2,8,3,14,11,12,14,2,10,1,6,12,11,17,7,7,17,"- -  -","","Europa",0,1,1,1
67220143,"Mikel Oyarzábal","Spanish First Division","ESP",71,26,"Left","Main",14,1,13,12,15,15,14,14,3,12,1,12,13,12,15,13,14,16,"- -  -","","Europa",1,1,1,1
61043456,"Andrew Robertson","English Premier Division","SCO",70,29,"Left","",14,1,9,10,5,12,13,14,2,16,1,15,18,16,14,13,12,12,"- -  -","","Europa",1,0,1,1
28018613,"Kieran Trippier","English Premier Division","ENG",70,32,"Right","",12,1,9,12,9,12,14,15,4,13,1,15,16,13,16,14,13,16,"- -  -","","Europa",0,0,1,1
91013383,"Marco Reus","Bundesliga","GER",71,34,"Right","",14,3,8,8,13,13,15,16,1,12,3,9,12,12,15,10,9,15,"- -  -","","Europa",0,0,1,1
28108035,"Reece James","English Premier Division","ENG",70,23,"Right","",12,3,10,14,12,11,19,13,3,15,1,14,14,14,12,13,18,11,"- -  -","Inj","Europa",0,0,1,1
67175052,"Thomas Partey","English Premier Division","GHA",73,30,"Right","",13,2,14,13,10,14,14,16,1,13,3,14,14,13,15,15,14,14,"- -  -","Inj","Africa",0,0,0,1
67211760,"Mikel Merino","Spanish First Division","ESP",74,27,"Left","Main",13,1,14,14,10,14,13,13,2,12,3,13,17,13,16,14,16,16,"- -  -","","Europa",1,1,1,1
28104124,"Trent Alexander-Arnold","English Premier Division","ENG",71,24,"Right","",14,1,11,11,8,12,14,14,3,14,3,12,14,14,18,10,14,17,"- -  -","Inj","Europa",0,0,1,1
19242277,"Raphinha","Spanish First Division","BRA",69,26,"Left","",16,3,7,8,13,16,14,14,3,16,3,11,14,15,14,8,9,14,"- -  -","","Sudamerica",1,0,0,1
67200923,"Unai Simón","Spanish First Division","ESP",75,26,"Right","Main",14,13,15,13,2,2,7,13,16,13,15,1,12,13,12,15,12,14,"- -  -","","Europa",0,1,1,1
67115823,"Gerard Moreno","Spanish First Division","ESP",71,31,"Left","Main",13,3,13,14,17,13,13,15,2,13,3,6,14,14,14,8,14,13,"- -  -","","Europa",1,1,1,1
14031132,"Lucas Ocampos","Spanish First Division","ARG",74,29,"Right","",13,2,13,13,14,15,13,13,3,15,3,7,14,15,13,7,14,12,"- -  -","","Sudamerica",0,0,0,1
2000049413,"Gavi","Spanish First Division","ESP",68,19,"Right","",17,3,6,6,11,14,15,15,3,14,1,13,14,13,15,12,11,15,"- -  -","","Europa",0,0,1,1
67276122,"Ansu Fati","English Premier Division","ESP",70,20,"Right","",16,2,9,11,15,16,14,14,1,16,3,5,12,15,13,5,11,14,"- -  -","IPR","Europa",0,0,1,1
67010455,"Iago Aspas","Spanish First Division","ESP",69,36,"Left","",14,3,11,13,16,15,15,16,3,14,2,6,11,12,14,8,7,15,"- -  -","","Europa",1,0,1,1
67196198,"Marcos Llorente","Spanish First Division","ESP",72,28,"Right","Main",11,1,10,13,12,12,11,15,1,13,2,15,16,14,14,12,15,13,"- -  -","","Europa",0,1,1,1
48037335,"Marcus Thuram","Italian Serie A","FRA",76,26,"Right","Main",14,1,14,13,14,17,16,14,3,16,2,7,14,17,14,6,16,14,"- -  -","","Europa",0,1,1,1
93070271,"Viktor Gyökeres","Portuguese Premier League","SWE",74,25,"Right","Main",12,1,13,12,17,14,14,14,1,15,4,8,19,15,11,9,18,13,"- -  -","","Europa",0,1,1,0
14048343,"Rodrigo De Paul","Spanish First Division","ARG",71,29,"Right","Main",14,2,9,8,13,15,14,15,2,14,2,12,14,14,15,10,12,15,"- -  -","","Sudamerica",0,1,0,1
55012106,"William Carvalho","Spanish First Division","POR",74,31,"Right","",12,4,13,12,9,14,18,13,2,10,2,16,13,10,15,17,19,16,"- -  -","","Europa",0,0,1,1
24048100,"Dani Olmo","Bundesliga","ESP",70,25,"Right","Main",16,1,9,8,12,17,15,16,2,13,2,10,15,12,16,10,10,17,"- -  -","","Europa",0,1,1,1
14130029,"Cristian Romero","English Premier Division","ARG",73,25,"Right","Main",14,2,14,16,8,9,14,18,2,14,3,18,14,14,14,16,15,11,"- -  -","","Sudamerica",0,1,0,1
14024702,"Leandro Paredes","Italian Serie A","ARG",71,29,"Right","Main",14,3,10,12,10,12,13,13,3,14,3,15,15,14,15,14,14,13,"- -  -","nEU","Sudamerica",0,1,0,1
83169226,"Diogo Costa","Portuguese Premier League","POR",73,23,"Right","Main",15,17,13,5,3,3,12,13,13,11,16,1,11,11,14,14,13,14,"- -  -","","Europa",0,1,1,0
29113879,"Kalvin Phillips","English Premier Division","ENG",70,27,"Right","Main",13,1,11,11,9,11,14,14,2,13,2,16,17,14,15,15,14,14,"- -  -","Trn","Europa",0,1,1,1
34012563,"Ivan Perišić","English Premier Division","CRO",73,34,"Right","Main",12,3,14,16,14,14,13,15,1,12,1,12,15,11,13,11,12,13,"- -  -","Trn","Europa",0,1,1,1
89056845,"Ferran Torres","Spanish First Division","ESP",72,23,"Right","Main",14,2,12,11,14,15,15,13,2,15,1,7,13,15,12,7,13,13,"- -  -","","Europa",0,1,1,1
67288555,"Xavi Simons","Bundesliga","NED",70,20,"Right","Main",16,4,10,9,12,16,12,13,4,15,2,9,15,15,15,9,9,15,"- -  -","","Europa",0,1,1,1
37062185,"Cody Gakpo","English Premier Division","NED",74,24,"Right","Main",15,3,12,12,13,15,14,13,1,15,1,7,13,14,14,8,12,13,"- -  -","","Europa",0,1,1,1
